Language,What roles do you play in your project? (mark all that apply),"Among the roles you play, which one do you consider to be your main role?",How long have you been working on this project? ,Which country did you spend the most time in during your participation in this project?,How many commits did you contribute to the project? ,What is your sex?,What is your educational background (highest degree obtained)?,What is your experience (in years) working in software development?,Were you familiar with the presented description of Technical Debt before this questionnaire?,For what reasons did you commonly modify code in the project? (mark all that apply),How often do you introduce technical debt?,For what reasons have you introduced technical debt? (mark all that apply),How often do you repay your own technical debt?,For what reasons do you repay your own technical debt?,Do you recall **noticing** TD? Please respond per TD type [Code Debt],Do you recall **noticing** TD? Please respond per TD type [Defect Debt],Do you recall **noticing** TD? Please respond per TD type [Design Debt],Do you recall **noticing** TD? Please respond per TD type [Documentation Debt],Do you recall **noticing** TD? Please respond per TD type [Test Debt],Do you recall **introducing** TD? Please respond per TD type [Code Debt],Do you recall **introducing** TD? Please respond per TD type [Defect Debt],Do you recall **introducing** TD? Please respond per TD type [Design Debt],Do you recall **introducing** TD? Please respond per TD type [Documentation Debt],Do you recall **introducing** TD? Please respond per TD type [Test Debt],Do you recall **repaying** TD? Please respond per TD type [Code Debt],Do you recall **repaying** TD? Please respond per TD type [Defect Debt],Do you recall **repaying** TD? Please respond per TD type [Design Debt],Do you recall **repaying** TD? Please respond per TD type [Documentation Debt],Do you recall **repaying** TD? Please respond per TD type [Test Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Code Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Defect Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Design Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Documentation Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Test Debt]
Java,"Developer (incl. Software Engineer), Team Lead, Software Architect",Developer (incl. Software Engineer),More than 5 years,,more than 500 commits,Male,BSc,11,Yes,"Bug fixing, New feature, Refactoring",Almost never,"Deadline, Lack of qualified professionals that can manage techinical debt",On a regular basis,s,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Probably not,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Probably not,Probably not
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),3-5 years,Spain,100-200 commits,Male,BSc,17,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Team overload;I am not aware that I introduce technical debt,Almost never,Requested by others,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably not,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely not,Definetely yes,I am not sure,I am not sure,I am not sure,Definetely not,I am not sure
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Spain,10-30 commits,Female,BSc,8,Yes,Bug fixing;New feature,Never,I am not aware that I introduce technical debt,I don't know,I don't know about any tech debt introduced by me,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Definetely not,Probably yes,I am not sure,Definetely not,Definetely yes,Definetely yes,Definetely yes,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Java,"Developer (incl. Software Engineer), Software Architect",Developer (incl. Software Engineer),Less than 1 year,UK,30-50 commits,I prefer not to answer,MSc,10,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential",I am not aware that I introduce technical debt,On a regular basis,Help improve the product faster,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),3-5 years,Iran,more than 500 commits,Male,BSc,4,Somewhat,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Inappropriate planning;Lack of experience;Team overload,"Sometimes, when it is absolutely essential",I like to keep my code clean,Probably yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably yes,Definetely yes,I am not sure,Definetely yes
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance),Developer (incl. Software Engineer),Less than 1 year,United States,Less than 10 commits,Male,High School,40 years,Yes,Bug fixing,Never,I am not aware that I introduce technical debt,Never,I don't think I introduced any.,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Team Lead;Scrum Master;Software Architect;Project Manager,Software Architect,1-2 years,UK,200-500 commits,Male,MSc,40,Somewhat,New feature,Almost never,I am not aware that I introduce technical debt,"Sometimes, when it is absolutely essential",When it is no longer adequate and I have the time to repay it.,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Project Manager,Project Manager,3-5 years,Germany,50-100 commits,Male,MSc,15,No,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Inappropriate planning;Non-adoption of good practice;Lack of qualified professionals that can manage techinical debt;Lack of experience;Team overload,Almost never,Bad design decisions,Definetely yes,I am not sure,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably not,Probably not,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Definetely yes,Probably not,Probably not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Dominican Republic,Less than 10 commits,Male,BSc,10,No,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Lack of qualified professionals that can manage techinical debt;Lack of experience;Outdated or incomplete documentation;Team overload,Always,Fix and add features,Probably yes,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,Probably yes,I am not sure,I am not sure,I am not sure,I am not sure,Definetely yes,Probably yes,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,US,more than 500 commits,Male,BSc,11,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience;Outdated or incomplete documentation,On a regular basis,To help other developers use the system and easier project maintenance.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably not,Probably not,Definetely yes,Definetely yes,Probably yes,I am not sure,I am not sure
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Scrum Master;Software Architect;Project Manager;Product Owner,Software Architect,1-2 years,USA,more than 500 commits,Male,BSc,35,Yes,Bug fixing;New feature;Refactoring,On a regular basis,To prioritize mainline tasks and de-prioritize secondary tasks,On a regular basis,To build good software,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Team Lead,1-2 years,China,50-100 commits,Male,PhD,9,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of commitment to the project;Team overload,"Sometimes, when it is absolutely essential","To assure the project works correctly, and prepare it for future development.",I am not sure,Probably yes,Probably yes,Probably not,Definetely yes,Probably yes,I am not sure,Probably yes,Probably not,Probably yes,I am not sure,Probably yes,Probably yes,I am not sure,Definetely yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Scrum Master;Software Architect;Project Manager;Product Owner,Team Lead,More than 5 years,Canada,more than 500 commits,Male,PhD,10,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Not effective project management;Lack of qualified professionals that can manage techinical debt;Team overload,On a regular basis,To save time in the future,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably not,Probably yes,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably not,Probably not,Probably yes,Definetely yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,China,Less than 10 commits,Male,BSc,7,Somewhat,New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Team overload,"Sometimes, when it is absolutely essential",keep project healthy,Definetely yes,Probably not,Probably yes,Probably yes,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely yes,I am not sure,Probably not,Probably not,Probably not,Definetely yes,Probably yes,I am not sure,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Team Lead,1-2 years,Japan,10-30 commits,Male,MSc,7,Yes,Bug fixing;Facing some issues during trying sample codes.,On a regular basis,Lack of well-defined process;Lack of experience;Experiments to introduce new technologies.,Always,To improve our productivity.,Probably yes,Definetely yes,Definetely not,Definetely not,Probably not,Definetely yes,Definetely yes,Probably yes,Definetely not,Probably not,Definetely yes,Probably yes,Probably not,Probably yes,Probably yes,Definetely yes,Probably yes,Probably not,Probably yes,Probably yes
Java,Software Architect,Software Architect,3-5 years,Belgium,more than 500 commits,Male,MSc,18,Yes,"New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Outdated or incomplete documentation, Team overload",On a regular basis,long term is less work.,Probably yes,Definetely not,Probably not,Definetely yes,Probably yes,Definetely yes,Probably not,Definetely not,Probably yes,Definetely not,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes
Java,"Developer (incl. Software Engineer), Team Lead, Project Manager, Product Owner",Developer (incl. Software Engineer),More than 5 years,Hungary,more than 500 commits,Male,PhD,20,Yes,"Bug fixing, New feature",Almost never,Lack of experience,On a regular basis,"Reduce maintenance costs, reduce the need of explain quirky design decisions and workarounds.",I am not sure,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Venezuela,30-50 commits,Male,BSc,11 years,Yes,"Bug fixing, New feature, Refactoring, boss commands (dont know why)",On a regular basis,"Team overload, I am not aware that I introduce technical debt",Always,to deliver a good quality solution,Definetely yes,Probably yes,Definetely yes,Probably not,Probably yes,Definetely yes,Probably yes,Definetely yes,Probably not,Probably yes,Probably yes,Probably yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,"Team Lead, Software Architect, Project Manager, Product Owner",Developer (incl. Software Engineer),More than 5 years,USA,more than 500 commits,Male,MSc,15,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Team overload","Sometimes, when it is absolutely essential","Cleaner, easier to maintain code",Definetely yes,I am not sure,Probably yes,Definetely yes,Probably yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Russia,100-200 commits,Male,MSc,10+,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Outdated or incomplete documentation,"Sometimes, when it is absolutely essential",to increase quality of the product,Definetely yes,Probably yes,Definetely yes,I am not sure,Probably yes,Definetely yes,I am not sure,Definetely yes,I am not sure,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes
Java,"Developer (incl. Software Engineer), Tester (incl. Quality Assurance), Scrum Master, Software Architect, Project Manager",Product Owner,More than 5 years,,more than 500 commits,Female,PhD,20,Yes,"Bug fixing, New feature, Refactoring",Always,"Deadline, Inappropriate planning, Lack of well-defined process, Non-adoption of good practice, Not effective project management, Lack of qualified professionals that can manage techinical debt, Lack of experience, Outdated or incomplete documentation, Lack of commitment to the project, Team overload, I am not aware that I introduce technical debt",Always,Why you spamming,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Probably not,I am not sure,Definetely not,Probably yes,Definetely yes,Definetely not,I am not sure,Probably not,Probably yes,Probably yes
Java,"Developer (incl. Software Engineer), Software Architect",Software Architect,3-5 years,United Kingdom,more than 500 commits,Male,BSc,20,Somewhat,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential","Deadline, Lack of well-defined process, Lack of qualified professionals that can manage techinical debt, Lack of experience, Team overload",On a regular basis,Repaying debt makes things easier for myself as well as others.,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely not,Definetely yes,I am not sure,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,I am not sure
Python,Developer (incl. Software Engineer);Team Lead,Software Architect,More than 5 years,China,50-100 commits,Male,BSc,20,No,Bug fixing;New feature,I don't know,I am not aware that I introduce technical debt,I don't know,a special tools such as react-table ag-grid,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Developer (incl. Software Engineer),3-5 years,Norway,more than 500 commits,Male,BSc,4 years,Yes,Bug fixing;New feature;Refactoring;Understanding code,Always,"Inappropriate planning;Lack of experience;Lack of commitment to the project;Mostly just to get it working right away - and then refactor later if it will be necessary. Usually technical debt is OK if its just a simple feature, but if you know down the road to fix it, then you can do that then.","Sometimes, when it is absolutely essential",Makes life less miserable. Good code is fun to work with. Bad code is a pain.,I am not sure,Probably yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Definetely yes,Probably yes
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Software Architect;Project Manager;Product Owner,Product Owner,More than 5 years,New Zealand,200-500 commits,Male,BSc,26,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of experience,On a regular basis,"Continuous improvement, or to fix over-simplified modelling",Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Software Architect,Software Architect,Less than 1 year,India,10-30 commits,Male,B.tech ,1,Somewhat,Bug fixing,"Sometimes, when it is absolutely essential",Lack of experience;I am not aware that I introduce technical debt,"Sometimes, when it is absolutely essential",I have given the time so I think I should repay,Definetely not,I am not sure,I am not sure,Definetely not,Definetely not,Definetely not,I am not sure,I am not sure,Definetely not,Definetely not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not,Probably not
Python,Product Owner,Developer (incl. Software Engineer),1-2 years,india,Less than 10 commits,Male,BSc,30 years,No,Bug fixing;New feature;Refactoring,Always,Deadline,Always,.,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Team Lead;Software Architect;Project Manager;Product Owner,Software Architect,More than 5 years,Slovenia,more than 500 commits,Male,BSc,25,Somewhat,Bug fixing;New feature;Refactoring,Almost never,Deadline;Inappropriate planning;Non-adoption of good practice,"Sometimes, when it is absolutely essential",only if the shortcut proves to be insufficient for the problem,Probably not,Probably not,Probably yes,Definetely yes,Definetely yes,Definetely not,Definetely not,I am not sure,Definetely yes,Definetely yes,I am not sure,Definetely yes,I am not sure,Definetely not,Definetely not,I am not sure,Definetely yes,I am not sure,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Scrum Master;Software Architect;Project Manager;Product Owner,Product Owner,More than 5 years,United Kingdom,more than 500 commits,Male,MSc,20,Yes,New feature,"Sometimes, when it is absolutely essential",Deadline,"Sometimes, when it is absolutely essential","Improving code quality, maintainability, making new features easier to implement.",Definetely yes,I am not sure,I am not sure,Definetely yes,Definetely yes,Probably yes,Probably not,Probably not,I am not sure,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Bangladesh,Less than 10 commits,Male,BSc,1,Somewhat,Bug fixing;New feature;Refactoring,Almost never,Inappropriate planning;Not effective project management;Lack of qualified professionals that can manage techinical debt;Lack of experience,On a regular basis,There is always a chance to come out with a better solution and can find something new . Always a possibility to learn something new.  ,Definetely yes,Probably yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably not,Definetely yes,I am not sure,Definetely yes,Definetely yes,Probably not,Probably not,Probably not,Definetely yes
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Software Architect,More than 5 years,England,more than 500 commits,Male,Vocational School,13,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Non-adoption of good practice;Lack of qualified professionals that can manage techinical debt;Lack of commitment to the project,"Sometimes, when it is absolutely essential",to make app more maintanable,Definetely yes,Definetely yes,I am not sure,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely not,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes
Java,Developer (incl. Software Engineer);project management committee members,Developer (incl. Software Engineer),More than 5 years,Switzerland,200-500 commits,Male,MSc,Over 20 years,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Backward compatibility,On a regular basis,Simply because it has a cost in terms of time and efforts for development,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Definetely not,I am not sure,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely not,Probably yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,,200-500 commits,Male,BSc,16,Yes,Bug fixing;Refactoring,"Sometimes, when it is absolutely essential",Outdated or incomplete documentation,On a regular basis,To keep it clean,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer);Software Architect;Project Manager;Product Owner,Software Architect,1-2 years,USA,100-200 commits,Male,MSc,15,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Inappropriate planning;Lack of well-defined process;Not effective project management;Lack of experience;Outdated or incomplete documentation,"Sometimes, when it is absolutely essential",Other can use it,Probably yes,Definetely yes,I am not sure,Probably yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Probably yes,Definetely yes,Definetely yes,I am not sure,I am not sure,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,Norway,more than 500 commits,Male,MSc,5,Somewhat,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Inappropriate planning;Lack of well-defined process;Lack of experience;I am not aware that I introduce technical debt,On a regular basis,More maintainable code,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Probably not,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,Bulgarua,50-100 commits,Male,BSc,6,Yes,Refactoring,On a regular basis,Inappropriate planning,On a regular basis,Knowedge,I am not sure,Probably not,Definetely not,Probably not,I am not sure,I am not sure,Probably not,I am not sure,Probably not,Definetely not,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure
Python,"All roles, I am a PhD student working on data science projects that use various forms of data, including electronic health records, gene expression (i.e., RNA-seq), single nucleotide polymorphisms",All roles,1-2 years,United States,Less than 10 commits,Male,MSc,5,Yes,Bug fixing;Refactoring,On a regular basis,Inappropriate planning;Lack of well-defined process;Non-adoption of good practice,"Sometimes, when it is absolutely essential",To establish good practice and make code shareable for when I publish papers. ,Definetely yes,Probably not,Probably not,Probably yes,Probably yes,Definetely yes,I am not sure,I am not sure,I am not sure,I am not sure,Definetely yes,I am not sure,I am not sure,I am not sure,I am not sure,Definetely yes,I am not sure,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Software Architect,Developer (incl. Software Engineer),1-2 years,United Kingdom,100-200 commits,Male,PhD,21,No,New feature,Almost never,Inappropriate planning,Always,"So the codebase is clean, reusable, and easily readable.",Probably yes,Definetely not,Probably yes,Definetely not,Definetely yes,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely yes,Definetely not,Definetely yes,Definetely not,Definetely not,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not
Java,Scrum Master;Software Architect;Project Manager;Product Owner,Product Owner,More than 5 years,USA,30-50 commits,I prefer not to answer,MSc,40+,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Deadline;Outdated or incomplete documentation,"Sometimes, when it is absolutely essential",Clean code is easier to understand for everyone.,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Definetely yes
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead,Developer (incl. Software Engineer),More than 5 years,United Kingdom,100-200 commits,Male,BSc,7,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of qualified professionals that can manage techinical debt;Lack of experience;Outdated or incomplete documentation;Team overload,On a regular basis,Unblock or increase effectiveness of team,Probably yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely not,Probably not,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United Kingdom,10-30 commits,Male,MSc,12,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Non-adoption of good practice;Outdated or incomplete documentation,On a regular basis,To (as much as possible) not leave parts of a project in a bad state for future developers (including future me).,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,I am not sure,I am not sure,I am not sure,Definetely yes,Definetely yes,I am not sure,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Project Manager;Product Owner,Developer (incl. Software Engineer),1-2 years,Canada,100-200 commits,Male,BSc,7,Yes,Bug fixing;New feature;Refactoring;Updating for dependencies (python 2 to 3 for example),"Sometimes, when it is absolutely essential",Deadline;Lack of well-defined process;Non-adoption of good practice;Lack of experience,On a regular basis,Make the code more manageable ,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States of America,50-100 commits,Male,,10,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Lack of well-defined process;Outdated or incomplete documentation;Team overload,"Sometimes, when it is absolutely essential","When I can refactor or otherwise address technical debt without either delaying the project, during 'free' or 'loose' time, such as during on-call time without other pressing tasks, or when I can work remediation of tech debt into the sprint.",Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Probably not,I am not sure,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably not,Probably yes,Probably yes,Probably not,Probably yes,Probably not
Python,Developer (incl. Software Engineer),Tester (incl. Quality Assurance),3-5 years,Luxembourg,200-500 commits,Male,Vocational School,7,Somewhat,Bug fixing;New feature;Refactoring,Almost never,Lack of experience;I am not aware that I introduce technical debt,Always,Future Proofing. Team support,Probably not,Probably not,Probably not,Definetely not,Probably yes,Probably not,Probably not,Probably not,Definetely not,Probably yes,Probably yes,I am not sure,I am not sure,Probably yes,Probably yes,Probably yes,I am not sure,I am not sure,Probably yes,Probably yes
